id,datetime,mmaf_code,mmaf_name,mmsi_code,mmsi_name,wind_direct,wind_speed,surface_curr_drc,surface_curr_speed,air_temperature,humidity,air_pressure,water_temperature,salinity,latitude,longitude
1,2025-01-17 12:10:00,101,부산청,994401597,부산항유도등부표(랜비),150.0,0.0,203.0,0.1,4.6,39.0,1024.0,13.1,20.2,35.0665,129.131
2,2025-01-17 12:20:00,101,부산청,994401597,부산항유도등부표(랜비),0.0,0.0,51.0,0.2,4.6,39.0,1023.0,13.1,20.1,35.0665,129.131
4,2025-01-17 12:30:00,101,부산청,994401597,부산항유도등부표(랜비),0.0,0.0,44.0,0.3,4.7,39.0,1023.0,13.2,20.2,35.0665,129.131
6,2025-01-17 12:40:00,101,부산청,994401597,부산항유도등부표(랜비),84.0,1.54,52.0,0.4,4.6,41.0,1023.0,13.2,20.1,35.0665,129.131
8,2025-01-17 12:50:00,101,부산청,994401597,부산항유도등부표(랜비),81.0,0.0,51.0,0.4,5.4,40.0,1023.0,13.2,20.1,35.0665,129.131
10,2025-01-17 13:00:00,101,부산청,994401597,부산항유도등부표(랜비),100.0,0.514,50.0,0.6,5.3,43.0,1023.0,13.2,20.1,35.0665,129.131
12,2025-01-17 13:10:00,101,부산청,994401597,부산항유도등부표(랜비),132.0,0.0,43.0,0.2,4.5,41.0,1023.0,13.2,20.1,35.0665,129.131
14,2025-01-17 13:20:00,101,부산청,994401597,부산항유도등부표(랜비),159.0,0.0,42.0,0.3,4.5,38.0,1023.0,13.2,20.2,35.0665,129.131
16,2025-01-17 13:30:00,101,부산청,994401597,부산항유도등부표(랜비),88.0,0.0,47.0,0.3,4.6,39.0,1023.0,13.2,20.2,35.0665,129.131
18,2025-01-17 13:40:00,101,부산청,994401597,부산항유도등부표(랜비),78.0,0.514,52.0,0.7,5.6,41.0,1022.0,13.1,20.3,35.0665,129.131
20,2025-01-17 13:50:00,101,부산청,994401597,부산항유도등부표(랜비),0.0,0.0,55.0,1.5,4.9,38.0,1022.0,12.4,20.2,35.0665,129.131
22,2025-01-17 14:00:00,101,부산청,994401597,부산항유도등부표(랜비),29.0,1.03,55.0,1.3,5.6,40.0,1022.0,12.3,20.0,35.0665,129.131
24,2025-01-17 14:10:00,101,부산청,994401597,부산항유도등부표(랜비),50.0,0.0,52.0,1.3,5.5,41.0,1022.0,12.7,20.2,35.0665,129.131
26,2025-01-17 14:20:00,101,부산청,994401597,부산항유도등부표(랜비),88.0,0.514,49.0,0.8,5.8,40.0,1022.0,12.4,20.0,35.0665,129.131
28,2025-01-17 14:30:00,101,부산청,994401597,부산항유도등부표(랜비),0.0,0.0,64.0,0.7,6.0,38.0,1022.0,12.4,20.2,35.0665,129.131
30,2025-01-17 14:40:00,101,부산청,994401597,부산항유도등부표(랜비),57.0,0.514,55.0,1.0,5.7,43.0,1022.0,12.5,19.7,35.0665,129.131
32,2025-01-17 14:50:00,101,부산청,994401597,부산항유도등부표(랜비),0.0,0.0,52.0,0.8,5.0,39.0,1022.0,12.6,20.1,35.0665,129.131
